Time (s),Temperature (K)
0.016111111,503.6927701
0.016138889,503.6757052
0.016166667,503.6587192
0.016194444,503.6418117
0.016222222,503.6249824
0.01625,503.6082308
0.016277778,503.5915566
0.016305556,503.5749595
0.016333333,503.5584391
0.016361111,503.541995
0.016388889,503.525627
0.016416667,503.5093345
0.016444444,503.4931174
0.016472222,503.4769752
0.0165,503.4609076
0.016527778,503.4449142
0.016555556,503.4289948
0.016583333,503.4131489
0.016611111,503.3973763
0.016638889,503.3816765
0.016666667,503.3660493
0.016694444,503.3504943
0.016722222,503.3350112
0.01675,503.3195996
0.016777778,503.3042593
0.016805556,503.2889899
0.016833333,503.273791
0.016861111,503.2586623
0.016888889,503.2436036
0.016916667,503.2286144
0.016944444,503.2136946
0.016972222,503.1988436
0.017,503.1840613
0.017027778,503.1693474
0.017055556,503.1547014
0.017083333,503.1401231
0.017111111,503.1256121
0.017138889,503.1111682
0.017166667,503.0967911
0.017194444,503.0824804
0.017222222,503.0682358
0.01725,503.0540571
0.017277778,503.0399439
0.017305556,503.0258959
0.017333333,503.0119128
0.017361111,502.9979944
0.017388889,502.9841402
0.017416667,502.9703501
0.017444444,502.9566237
0.017472222,502.9429607
0.0175,502.9293609
0.017527778,502.915824
0.017555556,502.9023495
0.017583333,502.8889374
0.017611111,502.8755872
0.017638889,502.8622987
0.017666667,502.8490717
0.017694444,502.8359057
0.017722222,502.8228006
0.01775,502.8097561
0.017777778,502.7967718
0.017805556,502.7838476
0.017833333,502.770983
0.017861111,502.7581779
0.017888889,502.745432
0.017916667,502.732745
0.017944444,502.7201166
0.017972222,502.7075466
0.018,502.6950347
0.018027778,502.6825806
0.018055556,502.670184
0.018083333,502.6578447
0.018111111,502.6455625
0.018138889,502.633337
0.018166667,502.621168
0.018194444,502.6090552
0.018222222,502.5969984
0.01825,502.5849973
0.018277778,502.5730517
0.018305556,502.5611613
0.018333333,502.5493258
0.018361111,502.5375451
0.018388889,502.5258187
0.018416667,502.5141466
0.018444444,502.5025284
0.018472222,502.4909639
0.0185,502.4794528
0.018527778,502.4679949
0.018555556,502.45659
0.018583333,502.4452378
0.018611111,502.433938
0.018638889,502.4226904
0.018666667,502.4114949
0.018694444,502.400351
0.018722222,502.3892587
0.01875,502.3782176
0.018777778,502.3672275
0.018805556,502.3562883
0.018833333,502.3453995
0.018861111,502.3345611
0.018888889,502.3237728
0.018916667,502.3130344
0.018944444,502.3023455
0.018972222,502.2917061
0.019,502.2811158
0.019027778,502.2705745
0.019055556,502.2600818
0.019083333,502.2496377
0.019111111,502.2392418
0.019138889,502.228894
0.019166667,502.218594
0.019194444,502.2083416
0.019222222,502.1981365
0.01925,502.1879786
0.019277778,502.1778677
0.019305556,502.1678035
0.019333333,502.1577858
0.019361111,502.1478144
0.019388889,502.137889
0.019416667,502.1280096
0.019444444,502.1181757
0.019472222,502.1083874
0.0195,502.0986442
0.019527778,502.0889461
0.019555556,502.0792928
0.019583333,502.0696841
0.019611111,502.0601199
0.019638889,502.0505998
0.019666667,502.0411237
0.019694444,502.0316914
0.019722222,502.0223027
0.01975,502.0129573
0.019777778,502.0036552
0.019805556,501.994396
0.019833333,501.9851797
0.019861111,501.9760059
0.019888889,501.9668745
0.019916667,501.9577853
0.019944444,501.9487381
0.019972222,501.9397328
